Respondent_ID,Age_Group,Income_Bracket,Location_Type,Current_Phone_Brand,Current_Phone_Age_Years,Upgrade_Frequency_Years,Price_Importance,Performance_Importance,Camera_Importance,Brand_Importance,Design_Importance,Battery_Importance,Primary_Info_Source,Secondary_Info_Source,Preferred_Purchase_Channel,Average_Budget_Range,Satisfaction_Score,Likelihood_to_Recommend
R001,18-25,<25K,Urban,Samsung,2,3,5,5,4,2,3,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,8,9
R002,26-35,25-50K,Urban,Apple,3,4,3,5,5,5,4,2,YouTube Reviews,Brand Website,Online,50000-80000,9,10
R003,36-45,50-100K,Semi-urban,Samsung,2,2,4,3,3,3,2,2,E-commerce Reviews,Peer Recommendations,In-Store,25000-40000,7,7
R004,18-25,<25K,Rural,Xiaomi,1,2,5,4,3,1,2,1,YouTube Reviews,Tech Blogs,Online,15000-25000,7,8
R005,26-35,25-50K,Urban,OnePlus,2,3,4,5,3,3,3,2,Brand Website,YouTube Reviews,Online,30000-50000,8,8
R006,45+,50-100K,Urban,iPhone,4,5,2,4,4,5,3,3,Peer Recommendations,Brand Website,In-Store,60000-100000,8,9
R007,18-25,<25K,Urban,Redmi,1,2,5,4,4,1,2,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,7,7
R008,26-35,>100K,Urban,Samsung,3,3,3,4,4,4,4,3,E-commerce Reviews,Tech Blogs,Online,40000-70000,9,9
R009,36-45,25-50K,Semi-urban,Apple,2,3,3,4,5,5,3,2,Peer Recommendations,Brand Website,Online,50000-80000,8,9
R010,45+,50-100K,Rural,Samsung,3,4,4,3,2,3,2,2,Peer Recommendations,In-Store Staff,In-Store,25000-50000,6,6
R011,18-25,<25K,Urban,Realme,1,2,5,4,3,1,3,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,8,8
R012,26-35,25-50K,Urban,Vivo,2,3,4,3,4,2,4,2,YouTube Reviews,E-commerce Reviews,Online,25000-40000,7,7
R013,36-45,50-100K,Urban,OnePlus,2,3,4,5,3,4,3,3,Brand Website,Tech Blogs,Online,40000-70000,8,9
R014,18-25,<25K,Semi-urban,Xiaomi,1,2,5,5,3,1,2,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,8,8
R015,26-35,>100K,Urban,iPhone,3,4,2,5,5,5,4,3,E-commerce Reviews,Brand Website,Online,70000-120000,9,10
R016,45+,25-50K,Rural,Samsung,4,4,4,2,2,2,1,2,Peer Recommendations,In-Store Staff,In-Store,20000-35000,5,5
